"NickName","DataSet","Key1","Key2","Key3","UsualVar","Default","Type","IndicatorType","DataType","VarName","Search_result"
"Privacy","wm","privacy","","","DVD1","no","and","DomesticViolence","Factor","DVD1","1 var names found"
"CurrentlyMarried","wm","currently married","living with a man","","MA1","no","and","DomesticViolence","Factor","MA1","1 var names found"
"EverMarried","wm","ever married","lived with a man","","MA5","no","and","DomesticViolence","Factor","MA5","1 var names found"
"Dvweight","wm","weight","dv","","DVHWEIGHT","no","and","DomesticViolence","Factor","DVWEIGHT","1 var names found"
"Push","wm","push","shake","throw","DVD5A","no","and","PhysicalViolence","Factor","DVD5A","1 var names found"
"Slap","wm","slap you","","","DVD5B","no","and","PhysicalViolence","Factor","DVD5B","1 var names found"
"Twist","wm","twist","pull","","DVD5C","no","and","PhysicalViolence","Factor","DVD5C","1 var names found"
"Punch","wm","punch","hurt","","DVD5D","no","and","PhysicalViolence","Factor","DVD5D","1 var names found"
"Kick","wm","kick","drag","beat","DVD5E","no","and","PhysicalViolence","Factor","DVD5E","1 var names found"
"Choke","wm","choke","burn","","DVD5F","no","and","PhysicalViolence","Factor",NA,"0 var names found"
"Attack","wm","knife","sharp","weapon","DVD5G","no","and","PhysicalViolence","Factor","DVD5G","1 var names found"
"ForcedSexualActs","wm","physically force","sexual","did not want to","DVD5H","no","and","SexualViolence","Factor","DVD5H","More than one columns, usual name chosen"
"OtherSexualActs","wm","physically force","other sexual","did not want to","DVD5I","no","and","SexualViolence","Factor","DVD5I","1 var names found"
"ThreatSexualActs","wm","with threats","sexual acts","did not want to","DVD5J","no","and","SexualViolence","Factor","DVD5J","1 var names found"
"Humiliate","wm","say or do","humiliate","of others","DVD4A","no","and","EmotionalViolence","Factor","DVD4A","1 var names found"
"Threaten","wm","threaten","hurt or harm","someone","DVD4B","no","and","EmotionalViolence","Factor","DVD4B","1 var names found"
"Insult","wm","insult","feel bad","yourself","DVD4C","no","and","EmotionalViolence","Factor","DVD4C","More than one columns, usual name chosen"
"PhysicalViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"NoPhysicalViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"SexualViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"NoSexualViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"EmotionalViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"NoEmotionalViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"SexualPhysicalViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"NoSexualPhysicalViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"AllViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"NoAllViolence","wm","no keywords","","","no keywords","no keywords","no keywords","ResponseV","Factor","no keywords","Default"
"NickName","DataSet","Key1","Key2","Key3","UsualVar","Default","Type","IndicatorType","DataType","VarName","Search_result"
"Privacy","wm","privacy","","","DVD1","no","and","DomesticViolence","Factor","DVD1","1 var names found"
"CurrentlyMarried","wm","currently married","living with a man","","MA1","no","and","DomesticViolence","Factor","MA1","1 var names found"
"EverMarried","wm","ever married","lived with a man","","MA5","no","and","DomesticViolence","Factor","MA5","1 var names found"
"Dvweight","wm","weight","dv","","DVHWEIGHT","no","and","DomesticViolence","Factor","DVWEIGHT","1 var names found"
"Push","wm","push","shake","throw","DVD5A","no","and","PhysicalViolence","Factor","DVD5A","1 var names found"
"Slap","wm","slap you","","","DVD5B","no","and","PhysicalViolence","Factor","DVD5B","1 var names found"
"Twist","wm","twist","pull","","DVD5C","no","and","PhysicalViolence","Factor","DVD5C","1 var names found"
"Punch","wm","punch","hurt","","DVD5D","no","and","PhysicalViolence","Factor","DVD5D","1 var names found"
