"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","dataValidation","IndicatorName","diffY"
"AFG2010+SecondaryEducation35plus","SecondaryEducation35plus","AFG2010","0.056900571764222","0.056900571764222","0.056900571764222","MICS",1,"AFG2010","Afghanistan","2010","hl","SecondaryEducation35plus","0.0749818441589002",1,"SecondaryEducation35plus",0.0180812723946782
"BGD2019+ContraceptiveMethod","ContraceptiveMethod","BGD2019","0.801665518366682","0.801665518366682","0.801665518366682","MICS",1,"BGD2019","Bangladesh","2019","wm","ContraceptiveMethod","0.777750196919147",1,"ContraceptiveMethod",0.0239153214475349
"BGD2019+HigherEducation2535","HigherEducation2535","BGD2019","0.139375946403001","0.139375946403001","0.139375946403001","MICS",1,"BGD2019","Bangladesh","2019","hl","HigherEducation2535","0.122708646918002",1,"HigherEducation2535",0.016667299484999
"BGD2019+HigherEducation35plus","HigherEducation35plus","BGD2019","0.092508652445143","0.092508652445143","0.092508652445143","MICS",1,"BGD2019","Bangladesh","2019","hl","HigherEducation35plus","0.0503277999345164",1,"HigherEducation35plus",0.0421808525106266
"BGD2019+SecondaryEducation2035","SecondaryEducation2035","BGD2019","0.271423363902594","0.271423363902594","0.271423363902594","MICS",1,"BGD2019","Bangladesh","2019","hl","SecondaryEducation2035","0.244905530386946",1,"SecondaryEducation2035",0.026517833515648
"BGD2019+SecondaryEducation35plus","SecondaryEducation35plus","BGD2019","0.162667907429445","0.162667907429445","0.162667907429445","MICS",1,"BGD2019","Bangladesh","2019","hl","SecondaryEducation35plus","0.0903940615734831",1,"SecondaryEducation35plus",0.0722738458559619
"BTN2010+ContraceptiveMethod","ContraceptiveMethod","BTN2010","0.780597514224693","0.780597514224693","0.780597514224693","MICS",1,"BTN2010","Bhutan","2010","wm","ContraceptiveMethod","0.833263503098628",1,"ContraceptiveMethod",0.0526659888739349
"GEO2018+ContraceptiveMethod","ContraceptiveMethod","GEO2018","0.484609849905267","0.484609849905267","0.484609849905267","MICS",1,"GEO2018","Georgia","2018","wm","ContraceptiveMethod","0.499032295394907",1,"ContraceptiveMethod",0.01442244548964
"GEO2018+SecondaryEducation2035","SecondaryEducation2035","GEO2018","0.772942216430352","0.772942216430352","0.772942216430352","MICS",1,"GEO2018","Georgia","2018","hl","SecondaryEducation2035","0.746402149868048",1,"SecondaryEducation2035",0.026540066562304
"GEO2018+SecondaryEducation35plus","SecondaryEducation35plus","GEO2018","0.745588284104704","0.745588284104704","0.745588284104704","MICS",1,"GEO2018","Georgia","2018","hl","SecondaryEducation35plus","0.548965725962019",1,"SecondaryEducation35plus",0.196622558142685
