"SurveyIndicator","IndicatorName","SurveyID","meanY","maxY","minY"
"AFG2010+ContraceptiveMethod","ContraceptiveMethod","AFG2010",1000,1000,1000
"AFG2010+ChildMarriage15","ChildMarriage15","AFG2010",0.150369680358197,0.150369680358197,0.150369680358197
"AFG2010+ChildMarriage18","ChildMarriage18","AFG2010",0.403820901188991,0.403820901188991,0.403820901188991
"AFG2010+AdolescentBirthRate","AdolescentBirthRate","AFG2010",0.356487235800683,0.356487235800683,0.356487235800683
"AFG2010+HigherEducation2535","HigherEducation2535","AFG2010",0.034523047372166,0.034523047372166,0.034523047372166
"AFG2010+ReasonBeating","ReasonBeating","AFG2010",0.902483518168369,0.902483518168369,0.902483518168369
"AFG2010+InternetUse","InternetUse","AFG2010",1000,1000,1000
"AFG2010+ProfessionalHelp","ProfessionalHelp","AFG2010",0.386468962759225,0.386468962759225,0.386468962759225
"AFG2010+SafeSanitation","SafeSanitation","AFG2010",0.281478264935127,0.281478264935127,0.281478264935127
"AFG2010+BasicWater","BasicWater","AFG2010",0.502815056136693,0.502815056136693,0.502815056136693
"AFG2010+TeenPregnancy","TeenPregnancy","AFG2010",0.139479893880455,0.139479893880455,0.139479893880455
"AFG2010+BankCardHH","BankCardHH","AFG2010",0.055570403463878,0.055570403463878,0.055570403463878
"AFG2010+MobilePhone","MobilePhone","AFG2010",1000,1000,1000
"AFG2010+CleanFuel","CleanFuel","AFG2010",0.165096462535664,0.165096462535664,0.165096462535664
"AFG2010+AccessElectricity","AccessElectricity","AFG2010",0.432169681883751,0.432169681883751,0.432169681883751
"AFG2010+HouseholdBasic","HouseholdBasic","AFG2010",0.082775785055796,0.082775785055796,0.082775785055796
"AFG2010+HouseholdTechNeed","HouseholdTechNeed","AFG2010",0.051919486894331,0.051919486894331,0.051919486894331
"AFG2010+Land","Land","AFG2010",0.635018224035662,0.635018224035662,0.635018224035662
"AFG2010+SecondaryEducation35+","SecondaryEducation35+","AFG2010",0.056900571764222,0.056900571764222,0.056900571764222
"AFG2010+MobilePhoneHH","MobilePhoneHH","AFG2010",0.694635997095326,0.694635997095326,0.694635997095326
"AFG2010+HigherEducation35+","HigherEducation35+","AFG2010",0.028914392264406,0.028914392264406,0.028914392264406
"AFG2010+CleanWater","CleanWater","AFG2010",0.557841636868091,0.557841636868091,0.557841636868091
"AFG2010+SecondaryEducation2035","SecondaryEducation2035","AFG2010",0.092892700090984,0.092892700090984,0.092892700090984
"AFG70+Covid","Covid","AFG70",0.01933922711363,0.01933922711363,0.01933922711363
"AFG70+LearningPR","LearningPR","AFG70",0.947337938310963,0.947337938310963,0.947337938310963
"AFG70+WaterOnsitePR","WaterOnsitePR","AFG70",0.362004355419463,0.362004355419463,0.362004355419463
"AFG70+SafeSanitationPR","SafeSanitationPR","AFG70",0.26597214752227,0.26597214752227,0.26597214752227
"AFG70+HandWashPR","HandWashPR","AFG70",0.274204577022807,0.274204577022807,0.274204577022807
"AFG70+NotCrowdedPR","NotCrowdedPR","AFG70",0.177096553352396,0.177096553352396,0.177096553352396
"AFG70+AdolescentBirthRate","AdolescentBirthRate","AFG70",0.378969790049243,0.378969790049243,0.378969790049243
"AFG70+EmotionalViolence","EmotionalViolence","AFG70",0.373084323590269,0.373084323590269,0.373084323590269
"AFG70+SexualViolence","SexualViolence","AFG70",0.072584023584232,0.072584023584232,0.072584023584232
"AFG70+AccessElectricity","AccessElectricity","AFG70",0.714547224664736,0.714547224664736,0.714547224664736
"AFG70+BankCard","BankCard","AFG70",0.115242427753567,0.115242427753567,0.115242427753567
"AFG70+CleanFuel","CleanFuel","AFG70",0.327669684746497,0.327669684746497,0.327669684746497
"AFG70+CleanWater","CleanWater","AFG70",0.65250859011998,0.65250859011998,0.65250859011998
"AFG70+HouseholdBasic","HouseholdBasic","AFG70",0.18490465715276,0.18490465715276,0.18490465715276
"AFG70+HouseholdTechNeed","HouseholdTechNeed","AFG70",0.872929079637954,0.872929079637954,0.872929079637954
"AFG70+Land","Land","AFG70",0.644393768199908,0.644393768199908,0.644393768199908
"AFG70+MobilePhone","MobilePhone","AFG70",0.872929079637954,0.872929079637954,0.872929079637954
"AFG70+MultiDeprivation","MultiDeprivation","AFG70",0.115242427753567,0.115242427753567,0.115242427753567
