"TreeID","IndicatorName.x","SurveyID.x","FormularString.x","Latest...1.x","Sample.Size.x","Overall.Mean.x","Max.Leaf.Size.x","Max.Leaf.Access.x","Min.Leaf.Size.x","Min.Leaf.Access.x","Max.Leaf.Characteristics.x","Min.Leaf.Characteristics.x","InUse.x.x","Country_ISO.x","Year.x","IndicatorName.y","Country_ISO.y","Year.y","Analysis","Sample.Size","Overall.Mean","Max.Leaf.Size","Max.Leaf.Access","Min.Leaf.Size","Min.Leaf.Access","Max.Leaf.Characteristics","Min.Leaf.Characteristics","Year.y.1","Religion_data","Ethnicity_data","Language_data","mean.diff"
"BGD+2019+ProfessionalHelp+aGroup+Education+MarriageStatus+NUnder5+PoorerHousehold+Residence","ProfessionalHelp","BGD2019","aGroup+Education+MarriageStatus+NUnder5+PoorerHousehold+Residence","1","9183.04151671749",0.589752345396147,"0.144636864265835","0.843744169353893","0.204069459739668","0.29634127363043","MAX-leaf // PoorerHousehold ~ 0 // Education ~ Secondary // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // Education~Lower","Y","BGD","2019","ProfessionalHelp","BGD","2019","ProfessionalHelp~PoorerHousehold+Residence+aGroup+MarriageStatus+NUnder5+Education","9183.04151671749",0.911444010767541,"0.144636864265835","0.956475463042762","0.204069459739668","0.869796797901913","MAX-leaf//PoorerHousehold~0//Education~Secondary//Residence~Urban","MIN-leaf//PoorerHousehold~1//Education~Lower","2019","Ready","Ready","NN",-0.321691665371394
"BGD+2019+SecondaryEducation2035+Ethnicity+PoorerHousehold+Religion+Residence+Sex","SecondaryEducation2035","BGD2019","Ethnicity+PoorerHousehold+Religion+Residence+Sex","1","60423.8790782157",0.271423363902594,"0.102302674144962","0.423896860990445","0.176802660752779","0.075914782478133","MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Male // Residence ~ Urban","MIN-leaf // PoorerHousehold~1 // Sex~Female","Y","BGD","2019","SecondaryEducation2035","BGD","2019","SecondaryEducation2035~PoorerHousehold+Residence+Sex+Religion+Ethnicity","66966.4441368085",0.244905530386946,"0.09889664388647","0.395655308092466","0.189605302023331","0.063872811744871","MAX-leaf//PoorerHousehold~0//Sex~Male//Residence~Urban","MIN-leaf//PoorerHousehold~1//Sex~Female","2019","Ready","Ready","NN",0.026517833515648
"BGD+2019+SecondaryEducation2035+PoorerHousehold+Residence+Sex","SecondaryEducation2035","BGD2019","PoorerHousehold+Residence+Sex","1","60423.8790782157",0.271423363902594,"0.307802962329206","0.405289005092384","0.176802660752777","0.075914782478134","MAX-leaf // PoorerHousehold ~ 0 // Sex ~ Male","MIN-leaf // PoorerHousehold~1 // Sex~Female","Y","BGD","2019","SecondaryEducation2035","BGD","2019","SecondaryEducation2035~PoorerHousehold+Residence+Sex","66966.4441368085",0.244905530386946,"0.295627312138173","0.380753957710814","0.189605302023331","0.063872811744871","MAX-leaf//PoorerHousehold~0//Sex~Male","MIN-leaf//PoorerHousehold~1//Sex~Female","2019","Ready","Ready","NN",0.026517833515648
"BGD+2019+SecondaryEducation35plus+Ethnicity+PoorerHousehold+Religion+Residence+Sex","SecondaryEducation35plus","BGD2019","Ethnicity+PoorerHousehold+Religion+Residence+Sex","1","52315.1092325491",0.162667907429445,"0.148893135260237","0.353164523759047","0.109788094146421","0.013080627437356","MAX-leaf // Residence ~ Urban // Sex ~ Male","MIN-leaf // Residence~Rural // PoorerHousehold~1 // Sex~Female","Y","BGD","2019","SecondaryEducation35plus","BGD","2019","SecondaryEducation35plus~PoorerHousehold+Residence+Sex+Religion+Ethnicity","94143.2346071058",0.090394061573483,"0.096163990207101","0.301591383224444","0.198199305104368","0.004414509738334","MAX-leaf//PoorerHousehold~0//Residence~Urban//Sex~Male","MIN-leaf//PoorerHousehold~1//Sex~Female","2019","Ready","Ready","NN",0.072273845855962
"BGD+2019+SecondaryEducation35plus+PoorerHousehold+Residence+Sex","SecondaryEducation35plus","BGD2019","PoorerHousehold+Residence+Sex","1","52315.1092325491",0.162667907429445,"0.148893135260236","0.353164523759052","0.109788094146421","0.013080627437356","MAX-leaf // Residence ~ Urban // Sex ~ Male","MIN-leaf // Residence~Rural // PoorerHousehold~1 // Sex~Female","Y","BGD","2019","SecondaryEducation35plus","BGD","2019","SecondaryEducation35plus~PoorerHousehold+Residence+Sex","94143.2346071058",0.090394061573483,"0.184781788684491","0.236550477897821","0.198199305104368","0.004414509738334","MAX-leaf//PoorerHousehold~0//Residence~Urban","MIN-leaf//PoorerHousehold~1//Sex~Female","2019","Ready","Ready","NN",0.072273845855962
"BTN+2010+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence","ContraceptiveMethod","BTN2010","aGroup+Education+NUnder5+PoorerHousehold+Residence","1","8400.593145",0.780597514224693,"0.108230798862239","0.877396516067233","0.176182760366262","0.661602608550047","MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 1 // NUnder5 ~ 0","MIN-leaf // aGroup~15-24","Y","BTN","2010","ContraceptiveMethod","BTN","2010","ContraceptiveMethod~PoorerHousehold+Residence+aGroup+NUnder5+Education","8703.583988",0.768888233999541,"0.290721946555428","0.815411983238833","0.253326037301404","0.726968345914721","MAX-leaf//aGroup~15-24+25-34//NUnder5~1","MIN-leaf//aGroup~35+//PoorerHousehold~0","2010",NA,NA,NA,0.0117092802251521
"BTN+2010+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence","ContraceptiveMethod","BTN2010","aGroup+Education+NUnder5+PoorerHousehold+Residence","1","8400.593145",0.780597514224693,"0.108230798862239","0.877396516067233","0.176182760366262","0.661602608550047","MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 1 // NUnder5 ~ 0","MIN-leaf // aGroup~15-24","Y","BTN","2010","ContraceptiveMethod","BTN","2010","ContraceptiveMethod~PoorerHousehold+Residence+aGroup+NUnder5+Education","8703.583988",0.768888233999541,"0.290721946555428","0.815411983238833","0.253326037301404","0.726968345914721","MAX-leaf//aGroup~15-24+25-34//NUnder5~1","MIN-leaf//aGroup~35+//PoorerHousehold~0","2010",NA,NA,NA,0.0117092802251521
"BTN+2010+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence","ContraceptiveMethod","BTN2010","aGroup+Education+NUnder5+PoorerHousehold+Residence","1","8400.593145",0.780597514224693,"0.163628745408072","0.860684092155064","0.176182760366262","0.661602608550047","MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 1","MIN-leaf // aGroup~15-24","Y","BTN","2010","ContraceptiveMethod","BTN","2010","ContraceptiveMethod~PoorerHousehold+Residence+aGroup+NUnder5+Education","8703.583988",0.768888233999541,"0.290721946555428","0.815411983238833","0.253326037301404","0.726968345914721","MAX-leaf//aGroup~15-24+25-34//NUnder5~1","MIN-leaf//aGroup~35+//PoorerHousehold~0","2010",NA,NA,NA,0.0117092802251521
"BTN+2010+ContraceptiveMethod+aGroup+Education+NUnder5+PoorerHousehold+Residence","ContraceptiveMethod","BTN2010","aGroup+Education+NUnder5+PoorerHousehold+Residence","1","8400.593145",0.780597514224693,"0.163628745408072","0.860684092155064","0.176182760366262","0.661602608550047","MAX-leaf // aGroup ~ 35+ // PoorerHousehold ~ 1","MIN-leaf // aGroup~15-24","Y","BTN","2010","ContraceptiveMethod","BTN","2010","ContraceptiveMethod~PoorerHousehold+Residence+aGroup+NUnder5+Education","8703.583988",0.768888233999541,"0.290721946555428","0.815411983238833","0.253326037301404","0.726968345914721","MAX-leaf//aGroup~15-24+25-34//NUnder5~1","MIN-leaf//aGroup~35+//PoorerHousehold~0","2010",NA,NA,NA,0.0117092802251521
"GEO+2018+SecondaryEducation2035+PoorerHousehold+Residence+Sex","SecondaryEducation2035","GEO2018","PoorerHousehold+Residence+Sex","1","8818.77600392399",0.772942216430352,"0.340075509993513","0.842529653122989","0.162819461085116","0.642150214735969","MAX-leaf // PoorerHousehold ~ 0 // Sex ~ FEMALE","MIN-leaf // PoorerHousehold~1 // Sex~FEMALE","Y","GEO","2018","SecondaryEducation2035","GEO","2018","SecondaryEducation2035~PoorerHousehold+Residence+Sex","8818.77600392399",0.746402149868048,"0.340075509993513","0.830854673105467","0.162819461085116","0.594023792309915","MAX-leaf//PoorerHousehold~0//Sex~Female","MIN-leaf//PoorerHousehold~1//Sex~Female","2018","Ready","Ready","NN",0.026540066562304
