"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","SurveySource","dataValidation","IndicatorName"
"AFG70+MobilePhone","MobilePhone","AFG70","0.872929079637954","0.872929079637954","0.872929079637954","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"ARM61+MobilePhone","MobilePhone","ARM61","0.869088659166881","0.869088659166881","0.869088659166881","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"BGD61+MobilePhone","MobilePhone","BGD61","0.784078314800458","0.784078314800458","0.784078314800458","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"BGD70+BankAccountPR","BankAccountPR","BGD70","0.318905054671201","0.318905054671201","0.318905054671201","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"BankAccountPR"
"BGD70+MobilePhone","MobilePhone","BGD70","0.885422029576511","0.885422029576511","0.885422029576511","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"IDN63+MobilePhone","MobilePhone","IDN63","0.829457700587489","0.829457700587489","0.829457700587489","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"KGZ61+MobilePhone","MobilePhone","KGZ61","0.964815913928502","0.964815913928502","0.964815913928502","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"KHM72+BankAccountPR","BankAccountPR","KHM72","0.136170237238138","0.136170237238138","0.136170237238138","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"BankAccountPR"
"MMR71+MobilePhone","MobilePhone","MMR71","0.730002953452798","0.730002953452798","0.730002953452798","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"NPL61+MobilePhone","MobilePhone","NPL61","0.746771741939541","0.746771741939541","0.746771741939541","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"PAK61+MobilePhone","MobilePhone","PAK61","0.870024191457984","0.870024191457984","0.870024191457984","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"PHL61+MobilePhone","MobilePhone","PHL61","0.839124779291962","0.839124779291962","0.839124779291962","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"TJK61+MobilePhone","MobilePhone","TJK61","0.932912084379168","0.932912084379168","0.932912084379168","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"TLS??+ContraceptiveMethod","ContraceptiveMethod","TLS??","0.398551074253298","0.398551074253298","0.398551074253298","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"ContraceptiveMethod"
"TLS??+ProfessionalHelp","ProfessionalHelp","TLS??","0.35850532928704","0.35850532928704","0.35850532928704","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"ProfessionalHelp"
"TLS61+MobilePhone","MobilePhone","TLS61","0.400838358499539","0.400838358499539","0.400838358499539","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
"TUR61+MobilePhone","MobilePhone","TUR61","0.955512087684817","0.955512087684817","0.955512087684817","DHS",1,NA,NA,NA,NA,NA,NA,NA,NA,"MobilePhone"
