"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","dataValidation","IndicatorName","diffY"
"AFG70+SecondaryEducation2035","SecondaryEducation2035","AFG70","0.167495930263996","0.167495930263996","0.167495930263996","DHS",1,"AFG70","AF","70","PR","SecondaryEducation2035","0.170376685336136",1,"SecondaryEducation2035",0.00288075507214
"AFG70+SecondaryEducation35plus","SecondaryEducation35plus","AFG70","0.076634302149011","0.076634302149011","0.076634302149011","DHS",1,"AFG70","AF","70","PR","SecondaryEducation35plus","0.0808635597773328",1,"SecondaryEducation35plus",0.0042292576283218
"AFG70+SexualPhysicalViolence","SexualPhysicalViolence","AFG70","0.509243979706594","0.509243979706594","0.509243979706594","DHS",1,"AFG70","AF","70","IR","SexualPhysicalViolence","0.507650918726821",1,"SexualPhysicalViolence",0.00159306097977296
"AFG70+SexualViolence","SexualViolence","AFG70","0.072584023584232","0.072584023584232","0.072584023584232","DHS",1,"AFG70","AF","70","IR","SexualViolence","0.0740876954536859",1,"SexualViolence",0.00150367186945391
"AFG70+WaterOnsitePR","WaterOnsitePR","AFG70","0.362004355419463","0.362004355419463","0.362004355419463","DHS",1,"AFG70","AF","70","PR","WaterOnsitePR","0.362004355419463",1,"WaterOnsitePR",0
"ARM61+AccessElectricity","AccessElectricity","ARM61","0.997835845063322","0.997835845063322","0.997835845063322","DHS",1,"ARM61","AM","61","HR","AccessElectricity","0.997835845063322",1,"AccessElectricity",0
"ARM61+BasicWater","BasicWater","ARM61","0.94682138046847","0.94682138046847","0.94682138046847","DHS",1,"ARM61","AM","61","HR","BasicWater","0.94682138046847",1,"BasicWater",0
"ARM61+CleanFuel","CleanFuel","ARM61","0.983433250659726","0.983433250659726","0.983433250659726","DHS",1,"ARM61","AM","61","HR","CleanFuel","0.983433250659726",1,"CleanFuel",0
"ARM61+ContraceptiveMethod","ContraceptiveMethod","ARM61","0.401408852252612","0.401408852252612","0.401408852252612","DHS",1,"ARM61","AM","61","IR","ContraceptiveMethod","0.401408852252612",1,"ContraceptiveMethod",0
"ARM61+HigherEducation2535","HigherEducation2535","ARM61","0.298184802001292","0.298184802001292","0.298184802001292","DHS",1,"ARM61","AM","61","PR","HigherEducation2535","0.298184802001292",1,"HigherEducation2535",0
"ARM61+HigherEducation35plus","HigherEducation35plus","ARM61","0.215497508798475","0.215497508798475","0.215497508798475","DHS",1,"ARM61","AM","61","PR","HigherEducation35plus","0.214582599526118",1,"HigherEducation35plus",0.000914909272357017
"ARM61+NotOverweight","NotOverweight","ARM61","0.84610539926348","0.84610539926348","0.84610539926348","DHS",1,"ARM61","AM","61","PR","NotOverweight","0.84610539926348",1,"NotOverweight",0
